第 39 轮 · 真背景落盘  2026-09-24 01:35:01   
==============================================================================
判据：房间自带 bg_sprite / asset_sprites 且宽高均 ≥ (300, 200)
  ch4.kris_room.kris_s_room                      ch4       EXISTS         bg_myroom                      320x240->[320, 240]
  ch4.hometown.beach                             ch4       EXISTS         bg_beach                       600x240->[600, 240]
  ch4.hometown.hospital_lobby                    ch4       EXISTS         bg_hospital_lobby              320x240->[320, 240]
  ch4.hometown.hospital_hallway                  ch4       EXISTS         bg_hospital_lobby2             320x240->[320, 240]
  ch4.hometown.hospital_rudy                     ch4       EXISTS         bg_hospital_rudyroom_ch4       320x240->[320, 240]
  ch4.hometown.hospital_room2                    ch4       EXISTS         bg_hospital_room2_ch4          320x240->[320, 240]
  ch4.hometown.diner                             ch4       EXISTS         bg_diner                       320x240->[320, 240]
  ch4.hometown.townhall                          ch4       EXISTS         bg_townhall                    320x240->[320, 240]
  ch4.hometown.flowershop_1f                     ch4       EXISTS         bg_flowershop_f1               320x240->[320, 240]
  ch4.hometown.flowershop_2f                     ch4       EXISTS         bg_flowershop_f2               320x240->[320, 240]
  ch4.hometown.library                           ch4       EXISTS         bg_library                     320x240->[320, 240]
  ch4.hometown.alphysalley                       ch4       EXISTS         bg_alphysalley_ch4             320x240->[320, 240]
  ch4.hometown.torielclass                       ch4       EXISTS         bg_torielclass_ch2             320x240->[320, 240]
  ch4.hometown.alphysclass                       ch4       EXISTS         bg_alphysclass                 320x240->[320, 240]
  ch4.my_castle_town.dw_castle_west_cliff        ch4       EXISTS         bg_darkwest_fixed              640x480->[640, 480]
  ch4.my_castle_town.dw_castle_restaurant        ch4       EXISTS         bg_dw_bakery_counter           640x480->[640, 480]
  ch4.my_castle_town.dw_castle_cafe              ch4       EXISTS         bg_dw_castle_cafe              920x480->[920, 480]
  ch4.my_castle_town.dw_castle_rooms_kris        ch4       EXISTS         bg_dw_kris_room                640x480->[640, 480]
  ch4.my_castle_town.dw_castle_rooms_susie       ch4       EXISTS         bg_dw_susie_room               640x480->[640, 480]
  ch4.my_castle_town.dw_castle_rooms_ralsei      ch4       EXISTS         bg_dw_ralsei_room              640x480->[640, 480]
  ch4.my_castle_town.dw_castle_rooms_queen       ch4       EXISTS         bg_dw_castle_queen_room        640x480->[640, 480]
  ch4.my_castle_town.dw_castle_rooms_kris_susie  ch4       EXISTS         bg_dw_kris_susie_room          922x480->[922, 480]
  ch4.dark_sanctuary.dark_sanctuary_1_study      ch4       EXISTS         bg_dw_gerson_base              960x1200->[960, 1200]
  ch4.home.krishallway                           ch4       EXISTS         bg_myhallway                   538x240->[538, 240]
  ch4.home.torhouse                              ch4       EXISTS         bg_torhouse_bg                 707x240->[707, 240]
  ch4.home.torbathroom                           ch4       EXISTS         spr_bg_torbathroom             320x240->[320, 240]
  ch4.home.krisroom_dark                         ch4       EXISTS         bg_myroom_dark                 320x240->[320, 240]
  ch4.light_world.lw_computer_lab                ch4       EXISTS         bg_lw_computer_lab             320x240->[320, 240]
  ch4.light_world.lw_library_upstairs            ch4       EXISTS         bg_lw_library_upstairs         320x240->[320, 240]
  ch4.light_world.lw_police                      ch4       EXISTS         bg_lw_police_house_base        320x240->[320, 240]
  ch4.light_world.lw_conbini                     ch4       EXISTS         bg_lw_sans_conbini             460x240->[460, 240]
  ch4.light_world.lw_icee_pizza                  ch4       EXISTS         bg_lw_ice_e_pizza              305x239->[305, 239]
  ch4.light_world.lw_church_entrance             ch4       EXISTS         bg_church_entrance             640x240->[640, 240]
  ch4.light_world.lw_church_office               ch4       EXISTS         bg_church_office               320x240->[320, 240]
  ch4.light_world.lw_church_choir                ch4       EXISTS         bg_church_choir                320x240->[320, 240]
  ch4.ralsei_room.dw_ralsei_castle_front         ch4       EXISTS         bg_darkcastle_front            660x480->[660, 480]
  ch5.kris_room.kris_s_room                      ch5       EXISTS         bg_myroom                      320x240->[320, 240]
  ch5.hometown.hospital_lobby                    ch5       EXISTS         bg_hospital_lobby              320x240->[320, 240]
  ch5.hometown.hospital_hallway                  ch5       EXISTS         bg_hospital_lobby2             320x240->[320, 240]
  ch5.hometown.hospital_rudy                     ch5       EXISTS         bg_hospital_rudyroom_ch2       320x240->[320, 240]
  ch5.hometown.hospital_room2                    ch5       EXISTS         bg_hospital_room2_ch2          320x240->[320, 240]
  ch5.hometown.diner                             ch5       EXISTS         bg_diner                       320x240->[320, 240]
  ch5.hometown.townhall                          ch5       EXISTS         bg_townhall                    320x240->[320, 240]
  ch5.hometown.flowershop_1f                     ch5       EXISTS         bg_flowershop_f1               320x240->[320, 240]
  ch5.hometown.flowershop_2f                     ch5       EXISTS         bg_flowershop_ch5              320x240->[320, 240]
  ch5.hometown.library                           ch5       EXISTS         bg_library                     320x240->[320, 240]
  ch5.hometown.alphysalley                       ch5       EXISTS         bg_alphysalley                 320x240->[320, 240]
  ch5.hometown.torielclass                       ch5       EXISTS         bg_torielclass_ch2             320x240->[320, 240]
  ch5.hometown.alphysclass                       ch5       EXISTS         bg_alphysclass                 320x240->[320, 240]
  ch5.my_castle_town.dw_castle_west_cliff        ch5       EXISTS         bg_darkwest_fixed              640x480->[640, 480]
  ch5.my_castle_town.dw_castle_restaurant        ch5       EXISTS         bg_dw_bakery_counter           640x480->[640, 480]
  ch5.my_castle_town.dw_castle_cafe              ch5       EXISTS         bg_dw_castle_cafe              920x480->[920, 480]
  ch5.my_castle_town.dw_castle_rooms_kris        ch5       EXISTS         bg_dw_kris_room                640x480->[640, 480]
  ch5.my_castle_town.dw_castle_rooms_susie       ch5       EXISTS         bg_dw_susie_room_ch5           640x480->[640, 480]
  ch5.my_castle_town.dw_castle_rooms_ralsei      ch5       EXISTS         bg_dw_ralsei_room              640x480->[640, 480]
  ch5.home.krishallway                           ch5       EXISTS         bg_myhallway                   538x240->[538, 240]
  ch5.home.torhouse                              ch5       EXISTS         bg_torhouse_bg                 707x240->[707, 240]
