# 4B 模型真机实测（从 Ollama server.log 抽取，非外推）

源: `C:\Users\23002\AppData\Local\Ollama\server.log`
样本数: 219 次完整推理

| # | prompt_tok | prompt_ms | eval_tok | eval_ms | total_ms | tok/s | 12tok | 20tok | 40tok |
| 97 | 11 | 448.0 | 85 | 10554.3 | 11002.3 | 7.96 | 1.51s | 2.51s | 5.03s |
| 98 | 9 | 373.8 | 151 | 18830.4 | 19204.3 | 7.97 | 1.51s | 2.51s | 5.02s |
| 99 | 14 | 677.1 | 12 | 1431.2 | 2108.2 | 7.69 | 1.56s | 2.60s | 5.20s |
| 100 | 8 | 375.9 | 21 | 2542.8 | 2918.8 | 7.87 | 1.52s | 2.54s | 5.08s |
| 101 | 9 | 395.7 | 85 | 10655.4 | 11051.1 | 7.88 | 1.52s | 2.54s | 5.08s |
| 102 | 12 | 512.3 | 27 | 3271.9 | 3784.2 | 7.95 | 1.51s | 2.52s | 5.03s |
| 103 | 8 | 393.3 | 44 | 5550.8 | 5944.1 | 7.75 | 1.55s | 2.58s | 5.16s |
| 104 | 8 | 357.6 | 35 | 4275.8 | 4633.5 | 7.95 | 1.51s | 2.52s | 5.03s |
| 105 | 15 | 631.8 | 193 | 24107.0 | 24738.8 | 7.96 | 1.51s | 2.51s | 5.03s |
| 106 | 11 | 469.2 | 75 | 9270.6 | 9739.8 | 7.98 | 1.50s | 2.51s | 5.01s |
| 107 | 14 | 537.9 | 26 | 3052.2 | 3590.1 | 8.19 | 1.47s | 2.44s | 4.88s |
| 108 | 1 | 123.3 | 23 | 2694.3 | 2817.6 | 8.17 | 1.47s | 2.45s | 4.90s |
| 109 | 1 | 124.1 | 16 | 1841.2 | 1965.4 | 8.15 | 1.47s | 2.45s | 4.91s |
| 110 | 14 | 577.0 | 15 | 1755.4 | 2332.4 | 7.98 | 1.50s | 2.51s | 5.01s |
| 111 | 1 | 124.0 | 24 | 2892.9 | 3016.8 | 7.95 | 1.51s | 2.52s | 5.03s |
| 112 | 1 | 122.7 | 19 | 2204.8 | 2327.5 | 8.16 | 1.47s | 2.45s | 4.90s |
| 113 | 9 | 372.2 | 55 | 6646.3 | 7018.5 | 8.12 | 1.48s | 2.46s | 4.93s |
| 114 | 1 | 121.9 | 28 | 3337.6 | 3459.5 | 8.09 | 1.48s | 2.47s | 4.94s |
| 115 | 1 | 123.2 | 29 | 3416.1 | 3539.4 | 8.20 | 1.46s | 2.44s | 4.88s |
| 116 | 8 | 336.4 | 22 | 2574.4 | 2910.8 | 8.16 | 1.47s | 2.45s | 4.90s |
| 117 | 1 | 122.9 | 13 | 1470.7 | 1593.6 | 8.16 | 1.47s | 2.45s | 4.90s |
| 118 | 1 | 124.0 | 13 | 1489.7 | 1613.7 | 8.06 | 1.49s | 2.48s | 4.96s |
| 119 | 6 | 286.8 | 15 | 1901.7 | 2188.4 | 7.36 | 1.63s | 2.72s | 5.43s |
| 120 | 1 | 139.1 | 40 | 4784.1 | 4923.2 | 8.15 | 1.47s | 2.45s | 4.91s |
| 121 | 1 | 120.6 | 16 | 1839.8 | 1960.4 | 8.15 | 1.47s | 2.45s | 4.91s |
| 122 | 8 | 357.2 | 31 | 3855.2 | 4212.3 | 7.78 | 1.54s | 2.57s | 5.14s |
| 123 | 1 | 124.2 | 90 | 10901.8 | 11026.0 | 8.16 | 1.47s | 2.45s | 4.90s |
| 124 | 1 | 121.2 | 69 | 8445.6 | 8566.9 | 8.05 | 1.49s | 2.48s | 4.97s |
| 125 | 11 | 466.8 | 41 | 5062.4 | 5529.2 | 7.90 | 1.52s | 2.53s | 5.06s |
| 126 | 1 | 123.9 | 85 | 10494.5 | 10618.4 | 8.00 | 1.50s | 2.50s | 5.00s |
| 127 | 1 | 123.1 | 45 | 5452.7 | 5575.9 | 8.07 | 1.49s | 2.48s | 4.96s |
| 128 | 9 | 375.2 | 126 | 15738.7 | 16114.0 | 7.94 | 1.51s | 2.52s | 5.04s |
| 129 | 1 | 123.8 | 138 | 16926.0 | 17049.8 | 8.09 | 1.48s | 2.47s | 4.94s |
| 130 | 1 | 123.3 | 58 | 7005.9 | 7129.2 | 8.14 | 1.47s | 2.46s | 4.91s |
| 131 | 14 | 536.4 | 24 | 2852.9 | 3389.3 | 8.06 | 1.49s | 2.48s | 4.96s |
| 132 | 1 | 124.8 | 11 | 1234.8 | 1359.6 | 8.10 | 1.48s | 2.47s | 4.94s |
| 133 | 1 | 124.7 | 13 | 1482.4 | 1607.1 | 8.10 | 1.48s | 2.47s | 4.94s |
| 134 | 9 | 357.4 | 22 | 2600.4 | 2957.9 | 8.08 | 1.49s | 2.48s | 4.95s |
| 135 | 1 | 123.0 | 32 | 3836.5 | 3959.5 | 8.08 | 1.49s | 2.48s | 4.95s |
| 136 | 1 | 124.7 | 54 | 6547.6 | 6672.3 | 8.09 | 1.48s | 2.47s | 4.94s |
| 137 | 14 | 538.8 | 25 | 2941.2 | 3479.9 | 8.16 | 1.47s | 2.45s | 4.90s |
| 138 | 1 | 121.5 | 29 | 3431.5 | 3553.0 | 8.16 | 1.47s | 2.45s | 4.90s |
| 139 | 1 | 121.0 | 35 | 4213.1 | 4334.1 | 8.07 | 1.49s | 2.48s | 4.96s |
| 140 | 6 | 281.9 | 10 | 1107.3 | 1389.1 | 8.13 | 1.48s | 2.46s | 4.92s |
| 141 | 1 | 121.1 | 34 | 4051.8 | 4172.9 | 8.14 | 1.47s | 2.46s | 4.91s |
| 142 | 1 | 121.9 | 11 | 1222.1 | 1344.0 | 8.18 | 1.47s | 2.44s | 4.89s |
| 143 | 8 | 363.6 | 81 | 10356.0 | 10719.5 | 7.72 | 1.55s | 2.59s | 5.18s |
| 144 | 1 | 160.0 | 70 | 8842.6 | 9002.6 | 7.80 | 1.54s | 2.56s | 5.13s |
| 145 | 1 | 124.7 | 125 | 15506.1 | 15630.8 | 8.00 | 1.50s | 2.50s | 5.00s |
| 146 | 11 | 467.7 | 60 | 7361.9 | 7829.6 | 8.01 | 1.50s | 2.50s | 4.99s |
| 147 | 1 | 125.1 | 64 | 7909.4 | 8034.6 | 7.97 | 1.51s | 2.51s | 5.02s |
| 148 | 1 | 128.3 | 78 | 9670.4 | 9798.7 | 7.96 | 1.51s | 2.51s | 5.03s |
| 149 | 399 | 8203.0 | 13 | 1630.1 | 9833.2 | 7.36 | 1.63s | 2.72s | 5.43s |
| 150 | 1 | 139.3 | 21 | 2492.1 | 2631.3 | 8.03 | 1.49s | 2.49s | 4.98s |
| 151 | 1 | 122.9 | 28 | 3354.0 | 3476.9 | 8.05 | 1.49s | 2.48s | 4.97s |
| 152 | 9 | 375.2 | 23 | 2770.4 | 3145.6 | 7.94 | 1.51s | 2.52s | 5.04s |
