【A】真·零引用（全项目没有任何代码引用它，且字符串里也没提过）227 个
def    ItemMenuUI.close_panel                     ralsei_pet\modules\item_menu_ui.py:278
def    MemorySystem.add_important_date            ralsei_pet\modules\memory_system.py:336
def    MemorySystem.get_associated_memories       ralsei_pet\modules\memory_system.py:274
def    MemorySystem.get_important_date            ralsei_pet\modules\memory_system.py:341
def    MemorySystem.get_knowledge_summary         ralsei_pet\modules\memory_system.py:900
def    MemorySystem.get_memory_stats              ralsei_pet\modules\memory_system.py:1701
def    MemorySystem.get_memory_strength           ralsei_pet\modules\memory_system.py:828
def    MemorySystem.get_recent_memory             ralsei_pet\modules\memory_system.py:201
def    MemorySystem.get_skill_level               ralsei_pet\modules\memory_system.py:814
def    MemorySystem.get_user_behavior_patterns    ralsei_pet\modules\memory_system.py:751
def    MemorySystem.has_skill                     ralsei_pet\modules\memory_system.py:818
def    MemorySystem.integrate_knowledge           ralsei_pet\modules\memory_system.py:857
def    MemorySystem.learn_from_experience         ralsei_pet\modules\memory_system.py:832
def    MemorySystem.reconstruct_scene             ralsei_pet\modules\memory_system.py:1530
def    MemorySystem.remember_key                  ralsei_pet\modules\memory_system.py:1102
def    MemorySystem.remember_user_behavior        ralsei_pet\modules\memory_system.py:740
def    MemorySystem.set_verifier                  ralsei_pet\modules\memory_system.py:1411
def    Message.effective_typer                    ralsei_pet\modules\companion_dialog.py:137
def    Message.norm_to                            ralsei_pet\modules\companion_dialog.py:195
def    NpcDef.to_dict                             ralsei_pet\modules\npc_system.py:128
def    NpcRegistry.lines_of                       ralsei_pet\modules\npc_system.py:204
def    NpcRegistry.main_npcs                      ralsei_pet\modules\npc_system.py:198
def    NpcRegistry.plain_npcs                     ralsei_pet\modules\npc_system.py:201
def    PetInteractionTracker.handle_move          ralsei_pet\modules\pet_interaction.py:354
def    PetInteractionTracker.handle_press         ralsei_pet\modules\pet_interaction.py:340
def    PetInteractionTracker.handle_release       ralsei_pet\modules\pet_interaction.py:347
def    PetInteractionTracker.set_drag_active      ralsei_pet\modules\pet_interaction.py:320
def    PetInteractionTracker.set_follow_active    ralsei_pet\modules\pet_interaction.py:325
def    RalseiPet._is_falling_through_window       ralsei_pet\src\main.py:3794
def    RalseiPet.check_desktop_element_at_target  ralsei_pet\src\main.py:3067
def    RalseiPet.check_recycle_bin                ralsei_pet\src\main.py:9550
def    RalseiPet.get_element_at_pos               ralsei_pet\src\main.py:1538
def    RalseiPet.init_api_client                  ralsei_pet\src\main.py:7142
def    RalseiPet.interact_with_file               ralsei_pet\src\main.py:9300
def    RalseiPet.interact_with_folder             ralsei_pet\src\main.py:9304
def    RalseiPet.is_own_code                      ralsei_pet\src\main.py:9440
def    RalseiPet.move_to_edge_and_shrink          ralsei_pet\src\main.py:5359
def    RalseiPet.on_animation_complete            ralsei_pet\src\main.py:9198
def    RalseiPet.react_to_vs_code_code            ralsei_pet\src\main.py:9417
def    RalseiPet.reset_special_states             ralsei_pet\src\main.py:4891
def    RalseiPet.start_mouse_drag                 ralsei_pet\src\main.py:3085
def    RalseiPet.suggest_game                     ralsei_pet\src\main.py:5475
def    RalseiPet.tell_joke                        ralsei_pet\src\main.py:5460
def    RalseiPet.toggle_bubble                    ralsei_pet\src\main.py:2452
def    RalseiPet.trigger_shy                      ralsei_pet\src\main.py:4869
def    RalseiPet.trigger_surprise                 ralsei_pet\src\main.py:4863
def    RalseiPet.trigger_teasplash                ralsei_pet\src\main.py:4886
def    RalseiPet.trigger_unhappy                  ralsei_pet\src\main.py:4875
def    RalseiPet.trigger_victory                  ralsei_pet\src\main.py:4881
def    Roster.by_id                               ralsei_pet\modules\companion_roster.py:105
def    Roster.deactivate_all                      ralsei_pet\modules\companion_roster.py:177
def    SceneController.available_scenes           ralsei_pet\modules\scene_controller.py:177
def    SceneController.destinations_text          ralsei_pet\modules\scene_controller.py:641
def    SceneController.follow_route               ralsei_pet\modules\scene_controller.py:600
def    SceneController.plan_route_text            ralsei_pet\modules\scene_controller.py:725
def    SceneController.resolve_destination        ralsei_pet\modules\scene_controller.py:685
def    SceneController.scene_info                 ralsei_pet\modules\scene_controller.py:182
def    SocialGrowthSystem.check_other_pets        ralsei_pet\modules\social_growth_system.py:686
def    SocialGrowthSystem.get_achievements        ralsei_pet\modules\social_growth_system.py:716
def    SocialGrowthSystem.get_evolution_stage     ralsei_pet\modules\social_growth_system.py:724
def    SocialGrowthSystem.get_progress_to_next_level ralsei_pet\modules\social_growth_system.py:737
def    SocialGrowthSystem.get_relationships       ralsei_pet\modules\social_growth_system.py:720
def    SocialGrowthSystem.get_remaining_experience ralsei_pet\modules\social_growth_system.py:732
def    SocialGrowthSystem.initiate_interaction    ralsei_pet\modules\social_growth_system.py:695
def    SoundManager.get_volume                    ralsei_pet\modules\sound_manager.py:68
def    SoundManager.play_click                    ralsei_pet\modules\sound_manager.py:149
def    SoundManager.play_footstep                 ralsei_pet\modules\sound_manager.py:161
def    SoundManager.play_happy                    ralsei_pet\modules\sound_manager.py:152
def    SoundManager.play_jump                     ralsei_pet\modules\sound_manager.py:158
def    SoundManager.play_sad                      ralsei_pet\modules\sound_manager.py:155
def    SoundManager.play_spellcast                ralsei_pet\modules\sound_manager.py:141
def    SoundManager.set_enabled                   ralsei_pet\modules\sound_manager.py:57
def    SoundManager.set_volume                    ralsei_pet\modules\sound_manager.py:60
def    SpriteLoader.add_animation                 ralsei_pet\modules\sprite_loader.py:917
def    SpriteLoader.clear_cache                   ralsei_pet\modules\sprite_loader.py:906
def    SpriteLoader.get_all_animations            ralsei_pet\modules\sprite_loader.py:890
def    SpriteLoader.get_animation_config_report   ralsei_pet\modules\sprite_loader.py:384
def    SpriteLoader.get_animation_files           ralsei_pet\modules\sprite_loader.py:941
def    SpriteLoader.get_cache_stats               ralsei_pet\modules\sprite_loader.py:896
def    SpriteLoader.get_frame_count               ralsei_pet\modules\sprite_loader.py:826
def    SpriteLoader.get_position_offset           ralsei_pet\modules\sprite_loader.py:882
def    SpriteLoader.get_unconfigured_asset_report ralsei_pet\modules\sprite_loader.py:403
def    SpriteLoader.set_position_offset           ralsei_pet\modules\sprite_loader.py:886
def    TestDesktopInteraction.test_excel_control  ralsei_pet\test_office_functions.py:88
def    TestDesktopInteraction.test_ppt_control    ralsei_pet\test_office_functions.py:68
def    WeatherSystem.set_api_key                  ralsei_pet\modules\weather_system.py:314
